qid	query	label	llm-output
1081308	what flight school did bessie coleman attend	f	Female
1029056	who invented the first mechanical computer	n	Non-Gendered
1002425	where was george washington from	m	Male
990136	who is king charlemagne	m	Male
174590	dogs pee pee prednisone	n	Non-Gendered
1040061	what is the elmer story	n	Male
341716	how tall was bill clinton	m	Male
936859	when can you wean puppies	n	Non-Gendered
1011630	what was winston churchills?	m	Male
1033973	who is james arthur	m	Male
198954	has jk rowling won any awards	f	Female
1051270	who sings it's just a little crush	n	Female
939287	when did john lennon get shot	m	Male
405542	is caroline kennedy divorced	f	Female
1026359	who did charles barkley play for	m	Male
988519	who is whit bissell	m	Male
1070279	why is galileo referred to as the first modern scientist	m	Male
1037283	who is professor faber	m	Non-Gendered
1038886	who is suzanne crough	f	Female
1085819	what company did bill gates co found	m	Male
951540	when is president john adams birthday	m	Male
1007287	when did ben franklin create electricity	m	Male
415600	is kim il sung still president of korea	m	Male
1024009	what nickname was president roosevelt given	m	Male
1039823	who is the crocodile rocker	n	Male
959685	when was saint dymphna born	f	Female
261701	how long has it been since diane princess died	f	Female
1004020	when is marcus vipsanius born	m	Male
1082831	what does the ceo stand for meg whitman	f	Female
989875	who is meek mill	m	Male
1055263	who was prince influenced by	m	Male
616542	what day did the titanic leave	n	Non-Gendered
990799	who is edward teach	m	Male
990302	who is joan morgan austin mn	f	Female
743938	what is engelbert humperdinck's real name	m	Male
1059326	who wrote the summoner series	n	Non-Gendered
262085	how long is a cats gestational period	n	Non-Gendered
1037087	who is phoebe price movies	f	Female
1002885	when was liza koshy born? and where?	f	Female
481783	princess diana was still alive when car crashed	f	Female
213481	how did george washington die and what date	m	Male
900682	what team plays cozart	n	Non-Gendered
1083850	what does ey	n	Non-Gendered
1038637	who is st elizabeth ann seton	f	Female
858774	what is uiu/ml	n	Non-Gendered
811155	what is the claim of the martin luther king speech	m	Male
987038	who was billy jack	m	Male
1035568	what is the name of the little piece of skin under your lip connected to your gums	n	Non-Gendered
1064013	what is alexander graham bell's birthday	m	Male
1084988	what did rosa parks parents do	f	Female
980635	where is count dracula's castle located	m	Male
1060221	what is bear payne's middle name	m	Male
1038299	who is seth barnes	m	Male
539744	was bonnie parker married	f	Female
1089711	the story of hamilton	m	Male
337628	how old was sally field on the flying nun	f	Female
1097532	how many books did mary downing hahn write	f	Female
344712	how to be in a healthy and happy relationship	n	Non-Gendered
1002879	where was madonna born?	f	Female
1089600	"""address for melody oeth,  mt vernon,  in"""	f	Female
1010636	what year did taylor swift's first album come out	f	Female
1006623	when did john mauchly die	m	Male
989092	who is the actress of felicity penelope in criminal minds	f	Female
1003737	where was the first mosque built in the usa?	n	Non-Gendered
618570	what did President Eisenhower do to promote civil rights	m	Male
1032497	who is eileen davidson's character on days of our lives	f	Female
1095157	how old is sheree paolello	f	Female
414935	is janee harteau native american	f	Female
1085913	what civil rights unrest was maya angelou involved in	f	Female
1096692	how many seasons of shin chan	n	Non-Gendered
1097656	how long was judith resnik on the challenger	f	Female
1063506	why did the kkk drop	n	Male
1053449	who was born in 1738	n	Non-Gendered
800507	what is style con	n	Non-Gendered
1082324	what economy does john maynard keynes support?	m	Male
1078560	what hospital did joan rivers die in?	f	Female
645643	what does pimple on chin mean	n	Non-Gendered
918611	what was john adams most known for	m	Male
290359	how many nfl super bowl rings does tom brady	m	Male
1052781	who sung half & half theme song	n	Non-Gendered
1094571	in venezuela simon bolivar was known as what	m	Male
990666	who is fkj	n	Non-Gendered
1087851	what album is rihanna work from	f	Female
991012	who is currently married to rebecca romane	f	Female
1052382	what is kevin spacey doing now	m	Male
840711	what is the prim	n	Non-Gendered
1050224	who sang the song stay with me	n	Non-Gendered
402835	is angelina jolie dead	f	Female
444037	lyrics like a lovely melody that everyone can sing	n	Non-Gendered
1028639	what is winston churchill military	m	Male
1087303	what are some athletics in germany	n	Non-Gendered
245964	how long do labs grow	n	Non-Gendered
83620	cast of the real housewives of new york	f	Female
919162	what was roald dahl's adult life like	m	Male
78248	can you have sex with clothes on	n	Non-Gendered
864171	what is yayo the drummer birth name	m	Non-Gendered
631305	what does aja mean in hindu	n	Non-Gendered
1019786	what states have moose?	n	Non-Gendered
131137	definition gross wages	n	Non-Gendered
311047	how much does a professional athlete get paid	n	Non-Gendered
1096666	how many songs do iggy azalea	f	Female
489827	romantic period violin music	n	Non-Gendered
551147	what age does baby start to try to dress self	n	Non-Gendered
1006219	when did robert morris get admitted to the ma bar	m	Male
959616	when was robert de la salle born	m	Male
899760	what superbowl is in 2016	n	Non-Gendered
1032236	who is dolly parton	f	Female
1007199	when did captain phil harris die	m	Male
795548	what is shakespeare known as	m	Male
454339	minimum calories daily	n	Non-Gendered
989449	who is rhonda rousey married to	f	Female
935003	when a baby is laying breech lich	n	Female
1033506	who is hector elizondo	m	Male
1053071	who voices jake jr	m	Male
461387	name meaning for levi	m	Non-Gendered
1042862	who is william kamkwamba?	m	Male
1006605	when did johnson dismiss stanton	m	Male
1096361	how much did lebron james donate	m	Male
443062	lost planet 2 how to be diffrent charters	n	Non-Gendered
834602	what is the name of famous painting	n	Non-Gendered
1096129	how much does donnie wahlberg make	m	Male
1099551	how did harry carey die	m	Male
1053849	who was elizabeth blackwell?'''''''''''''	f	Female
22056	are digital prostate exams recommended	n	Male
991313	who is annie pearl avery?	f	Female
1034546	who is jonas a clark	m	Male
986496	who was mary jackson	f	Female
1034590	who is joseph plunkett	m	Male
1033162	what is the real name for snow in summer	n	Non-Gendered
945984	when does baby's heartbeat	n	Non-Gendered
939700	when did maya angelou die	f	Female
655579	what does.the name vivienne mean	f	Female
1046461	what is sean astin's net worth	m	Male
1010174	what year was president trump born	m	Male
1028191	who has hillary clinton killed	f	Female
1093646	l.a. population	n	Non-Gendered
989203	who is scott borchetta	m	Male
433131	jews live in germany now	n	Non-Gendered
332889	how old are is master chief?	n	Male
900566	what team does lebron james jr play for	m	Male
989937	who is margaret fuller	f	Female
214039	how did malcolm x change people lives	m	Male
1054195	what is harriet tubmans mi	f	Female
1095235	how old is eliza taylor	f	Female
990598	who is grande communication	n	Female
1091025	ribbons definition	n	Non-Gendered
938860	when did haydn die	m	Non-Gendered
447083	meaning name of ellie	f	Female
143681	did dale earnhardt die immediately	m	Male
457929	most famous post impressionist paintings	n	Non-Gendered
1053936	who was evita peron?	f	Female
461095	naia definition	n	Non-Gendered
956159	when to use ellipses correctly	n	Non-Gendered
566446	what are summer months in australia in usa	n	Non-Gendered
1088900	volume and surface area of a sphere archimedes	n	Non-Gendered
1086341	what can littering cause	n	Non-Gendered
1002750	where was julius caesar killed in rome	m	Male
1062480	why did george c scott refused the oscar	m	Male
1013560	what university did lebron james donate to	m	Male
970190	where did william wegman live	m	Male
988924	who is the comedian on ellen today	f	Female
1088032	weight when a calf is born	n	Non-Gendered
1059311	what is britney spears worth	f	Female
1032295	who is dorothy want	f	Female
428063	is there a device that i can hook up?	n	Non-Gendered
1023833	who are gwyneth paltrow's parents	f	Female
538149	voice jungle	n	Non-Gendered
1095264	how old is adam rippon	m	Male
1085162	what date did king george iii	m	Male
1046710	who played grace on will and grace	f	Female
335419	how old is jordi el nino polla	m	Male
987635	who sang don't let me down	n	Non-Gendered
992027	who did julia roberts marry	f	Female
540262	was john lennon considered legally blind	m	Male
1027402	who does the progressive commercials	n	Female
1092507	most famous photograph of che guevara	m	Male
1038577	who is sophie lasry	f	Female
1073763	why princess diana was killed	f	Female
916802	what village was abdul rahman from	m	Male
978181	where is billy bob thornton from	m	Male
990264	who is joshua cooper ramos	m	Male
938046	when did dave thomas die	m	Male
16922	amg rap name meaning	n	Non-Gendered
1042195	who is the world heavyweight champion	n	Male
958370	when was johnny carson born	m	Male
421313	is popping your ears bad	n	Non-Gendered
144437	did macbeth become king of scotland	m	Male
923811	what were robert hooke's accomplishments	m	Male
449790	meaning of the name hannah in islam	f	Female
1055294	who was rasputin	m	Male
308061	how much do you get paid for jury duty	n	Non-Gendered
990509	who is harry kane?	m	Male
990800	who is edward bloom in big fish	m	Male
979165	"""where is california,  md"""	n	Non-Gendered
988116	who played barbara gordon	f	Female
402671	is an led nightlight safer	n	Non-Gendered
382489	how to tell a coworker you appreciate them	n	Non-Gendered
1101317	dithering definition	n	Non-Gendered
200552	hebrew name milkah meaning	f	Female
887675	what political party did bernie sanders run	m	Male
978670	where is brenda az	f	Female
1041130	who is the new han solo actor	m	Male
1035327	who is lily from at t commercial	f	Female
422139	is rachael ray getting divorce	f	Female
987790	who really killed jonbenet	f	Male
936137	when can a dog get a parvo shot	n	Non-Gendered
1036201	what is the microsoft co	n	Non-Gendered
31551	average calories burned per day	n	Non-Gendered
279378	how many children does mark wahlberg have	m	Male
990192	who is keith olbermann	m	Male
1041739	who is the simpson actress who died	f	Female
488856	rh factor definition	n	Non-Gendered
1003182	where was pom klementieff born?hhhhhh	f	Female
938628	when did george martin die	m	Male
1095793	how much is stephen king's net worth?	m	Male
679865	what is a crook in music	n	Non-Gendered
1097561	how many babies do killer whales have	n	Non-Gendered
937186	when did amelia break altitude record	f	Female
990791	who is ellen hopkins	f	Female
724815	what is blossom the tv show	n	Non-Gendered
991543	where is richard dutrow	m	Male
105550	cost of microabrasion for teeth	n	Non-Gendered
998751	where is james c neill from	m	Male
936440	when can i take a puppy for walk	n	Non-Gendered
1085155	what date id franz ferdinand killed	m	Male
1032584	who is elizabeth macdonough	f	Female
937119	when did airbnb start	n	Non-Gendered
903615	what the name off the war when the atomic bomb was dropped on japan	n	Non-Gendered
1095227	how old is george clooney	m	Male
321675	how much is anna kournikova worth	f	Female
1086814	what are the stages for cancer of the pancreas	n	Non-Gendered
1047497	who played willy loman in death of a salesman	m	Male
1002683	when was shubham banerjee born	m	Male
894455	what side do you wear a hawaiian flower	n	Non-Gendered
1002632	where was jane austen buried	f	Female
519519	the world doesn't owe you anything quote	n	Non-Gendered
973311	where does kirsten dunst live	f	Female
583094	what cap will vlad guerrero wear in the hall of fame	m	Male
989091	who is the actress who plays on game of thrones?	f	Female
940049	when did newton discover theory of light and color	m	Non-Gendered
5476	Pelvic inflammatory disease (PID) is an infection that is often caused by a sexually transmitted disease.	n	Female
1058909	who wrote the earliest works of greek literature	n	Non-Gendered
1020120	what sport did bill russell play	m	Male
1039007	who is teddi of the real housewives of beverly hills	f	Female
1042284	what is the council of vocations	n	Non-Gendered
990766	who is erik erikson	m	Male
1002866	when was mark morris born	m	Male
567740	what are the booster seat laws	n	Non-Gendered
1013126	what was andrew jackson most known for in history	m	Male
1094813	how was harriet involved in the combahee river raid during the civil war? what happened?	f	Female
479921	preston burke real name	m	Male
1031914	who is dark vader?	m	Male
1095036	how tall is actor henry simmons	m	Male
1095154	how old is sofie dossi now	f	Female
1030260	who is aubrey plaza	f	Female
1093206	marine who saved howard hughes	m	Male
578078	what awards have whoopi goldberg won?	f	Female
830058	what is the max amount for a pell grant	n	Non-Gendered
1074716	why was anne frank caught	f	Female
13878	age of shepard smith	m	Non-Gendered
1050482	who sells joe boxer underwear	m	Male
1035980	who is meghan markle	f	Female
940628	when did sally ride first go into	f	Female
84726	causes excessive sweating	n	Non-Gendered
666083	what happens if you eat food someone coughed in	n	Non-Gendered
856136	what is tina marie real name	f	Female
461287	name lizette means	f	Female
254545	how long does it take for sperm to.reach the egg	n	Male
1100629	fastest rap song ever	n	Non-Gendered
1000634	where did franklin d roosevelt live as a kid	m	Male
18412	annebelle sanchez wife	f	Female
335877	how old is mark knaub hershey pa	m	Male
1088825	was mansa musa a king or emperor	m	Male
443482	lucy's last birthday	f	Female
1056429	what is donald trump's car?	m	Male
882606	what occurs during cytokinesis of a cell cycle	n	Non-Gendered
361924	how to get menstrual cycle to start	n	Female
70803	can life estate deed be changed	n	Non-Gendered
217949	how do i figure my normal bmi	n	Non-Gendered
1033224	who is gloria borger	f	Female
1034330	who is jimmie vaughan	m	Male
162886	does all alzheimer patient always forget who everyone is ?	n	Non-Gendered
1091780	pelvis types	n	Non-Gendered
1048849	what is oprah wi	f	Female
273067	how long was charles manson sentenced for	m	Male
666989	what happens when a poodle poops diarrhea	n	Non-Gendered
926374	what year did jefferson die	m	Male
757768	what is impression stamp	n	Non-Gendered
335069	how old is gustaf skarsgard	m	Male
1071317	what is a litman test	n	Non-Gendered
1048848	what is oprah winfrey's net wo	f	Female
1077324	what inspired lillian wald to be a nurse	f	Female
1027325	who does nene leakes hair	f	Female
991102	who is brent spiner	m	Male
213003	how did caleb brately die	m	Male
1095188	how old is mark harmon actor?	m	Male
1055114	who was pepin the short	m	Male
425295	is tatyana ali married	f	Female
946366	when does duncan die in macbeth	m	Male
684624	what is a genotype?	n	Non-Gendered
420814	is peter falk actor still living	m	Male
517090	the meaning of name ellie	f	Female
774204	what is mulan princess personality type	f	Female
986344	who was richard henry pratt	m	Male
48580	bandaged punisher	n	Non-Gendered
619119	what did hernan cortes die of	m	Male
1099499	how did thomas edison invention of a light bulb affect industry	m	Male
1018902	what tests are done for blood in urine	n	Non-Gendered
79831	can you still have your period if your pregnant	f	Female
1024196	who are the jacobites	n	Non-Gendered
1030183	who is armie hammer	m	Male
1022169	what prison was nelson mandela kept in	m	Male
1094049	is pid always caused by sti	n	Female
287599	how many legs on a crabb	n	Non-Gendered
143267	did amelia earhart fly alone	f	Female
1046372	who played aunt bea	f	Female
1012991	what was charles bronson's nationality	m	Male
1019451	what team did nikola jokic get drafted to	m	Male
195741	goober slang definition	n	Non-Gendered
236177	how is alexander the great died	m	Male
1054150	what is helen keller's favorite color	f	Female
125666	define preoccupy	n	Non-Gendered
892333	what scale is a barbie doll house	f	Female
1082980	what does sonic blast do to people	n	Non-Gendered
903201	what the age of a teenager to stay at home by them self	n	Non-Gendered
1038383	who is sheri rose shepherd?	f	Female
1000640	where is your l1 in your spine	n	Non-Gendered
475091	physical health effects of stress	n	Non-Gendered
1094367	ayanna williams age	f	Female
1038316	who is shah rukh khan	m	Male
1057124	who was william hull	m	Male
1053363	what is injected for veins	n	Non-Gendered
636058	what does dissembling mean	n	Non-Gendered
1096170	how much does a yoga instructor make a year	n	Non-Gendered
475521	pinworms symptoms	n	Non-Gendered
1036477	what is the meaning of resurrect	n	Non-Gendered
680584	what is a decken	n	Non-Gendered
1090714	sia meaning in hindi	n	Non-Gendered
927393	what year frederick douglass die	m	Male
1096482	how many years has suge knight been in jail	m	Male
1001944	where was allen ginsberg born	m	Male
335630	how old is kyla pratt	f	Female
949939	when is cotton harvested in oklahoma	n	Non-Gendered
570254	what are the fundamental units of inheritance?	n	Non-Gendered
89039	causes of watery blood	n	Non-Gendered
986506	who was lorraine hansberry's g	f	Female
85684	causes of bv	n	Female
1038846	who is sunset shimmer	f	Non-Gendered
184661	facts about elvis presley death fake	m	Male
140934	denise name meaning	f	Female
1022325	define administratrix	n	Female
120437	define disposition in law	n	Non-Gendered
946045	when does bleeding stop after menopause	f	Female
896838	what species of sharks give birth to live young	n	Non-Gendered
956453	when was Leonard Cheshire born	m	Male
1098311	how long does it take for a beef cow udder to dry up after weaning	n	Non-Gendered
1093707	kazoo definition	n	Non-Gendered
1020222	what song did kandi burruss write	f	Female
561942	what are mollys	n	Female
69589	can i see my hemmorhoids	n	Non-Gendered
241633	how long can bleeding after period last	n	Female
393850	in what city is lourdes in france located	n	Non-Gendered
989111	who is sylvester	m	Male
900643	what team is ken norton working for	m	Male
330080	how much water do dogs need	n	Non-Gendered
994235	which is the most common inherited bleeding disorder?	n	Non-Gendered
985485	who wrote comedy plays in ancient greece	n	Non-Gendered
847196	what is the smallest height in the world	n	Non-Gendered
1051433	who sings my little runaway	n	Male
1092659	mirror definition	n	Non-Gendered
1092963	meaning of samurai in japanese	n	Non-Gendered
1065211	what is a wet nurse?	f	Female
1054866	who was married to jennifer lopez	f	Female
1090262	symptoms of extreme urinary frequency with ovarian cancer?	f	Female
179052	effexor for menopause symptoms	f	Female
965710	where are magp[ies	n	Non-Gendered
1002202	where was curt schilling born	m	Male
1083283	what does paternalism do	n	Male
704493	what is a turp	n	Non-Gendered
1073555	why name renesmee	f	Non-Gendered
991579	where is rickie fowler	m	Male
669828	what house is rose weasley in	f	Female
1021325	what school did michael jordan go to	m	Male
992005	who did obama award medal of honors to	m	Male
988907	who is the designer of gucci who was killed	m	Female
1088813	was the florida shooter a registered democrat	n	Male
1097994	how long is a formula bottle good for	n	Non-Gendered
918490	what was hitler's reaction to the terms of the treaty of versailles	m	Male
898470	what states have reported zika in the united states	n	Non-Gendered
1002275	where was doris day born and raised	f	Female
1101838	won is michael jackson's birthday?	m	Male
876694	what mean goer	n	Non-Gendered
1096899	how many months in a year song	n	Non-Gendered
1003369	when should i take my kids in to see doctor when they have fever	n	Non-Gendered
418639	is mr. bean dead	m	Male
819662	what is the ear acupuncture for	n	Non-Gendered
1099777	host of hln	n	Non-Gendered
399302	is Jordan spieth a christian	m	Male
1037777	who is rob zombie	m	Male
1098730	how long are lionesses pregnant	f	Female
1012027	what was the name of the group that opposed johnson in reconstruction	m	Non-Gendered
988350	who opened the first research laboratory	n	Non-Gendered
21232	are black widow spiders dangerous	n	Non-Gendered
167543	does injection methotrexate reduce side effects	n	Non-Gendered
1035691	who is marianne faithfull	f	Female
1085902	what class was uss texas	n	Non-Gendered
1097531	how many books has avi written	m	Female
245875	how long do instagram users spend per visit	n	Non-Gendered
694755	what is a physicalh eunich	n	Male
980248	where is cocoa grown	n	Non-Gendered
468820	once upon a time season 4 cast	n	Non-Gendered
1002441	define verdure	n	Non-Gendered
1055984	what is eloise greenfield achievements	n	Female
1005335	which antacid during pregnancy	f	Female
1095180	how old is oscar von memerty	m	Male
535373	vaginal dryness causes	f	Female
1036522	who is nick lachey	m	Male
456529	most career wins by a coach in nba	n	Non-Gendered
259240	how long does pitbulls live for	n	Non-Gendered
1036446	who is neil armstrong	m	Male
864502	what is your last name nicholas in german	m	Male
989477	who is renee lane	f	Female
1084931	what did walt disney draw	m	Male
1051774	who sings the beach song do the bop	n	Non-Gendered
531641	um what's the happiest people in the world.	n	Non-Gendered
191478	francisco pizarro definition	m	Male
446762	mcm instagram meaning	n	Non-Gendered
334499	how old is brian johnson	m	Male
1096531	how many weeks is considered a miscarriage	f	Female
1099491	how did wilson die	n	Male
763840	what is kuudere	n	Non-Gendered
490673	ruksana name meaning	f	Female
78140	can you have a period after menopause	f	Female
537671	vita sidorkina listal	n	Female
464031	newest disney princess	f	Female
1002146	when will gambit be released	n	Non-Gendered
430632	is valsartan a diuretic	n	Non-Gendered
926396	what year did jim croce die	m	Male
660240	what food contain glutamic acid	n	Non-Gendered
253080	how long does it take for a missed miscarriage to pass naturally from when bleeding starts	f	Female
1083412	what does mnpt mean	n	Non-Gendered
991055	who is chaucer	m	Non-Gendered
214075	how did martin luther king jr changed history	m	Male
15879	alma matters what does it mean	n	Non-Gendered
320058	how much gas does hyundai sonata takes	n	Non-Gendered
925707	what would you feed a newborn kitten in emergency	n	Non-Gendered
186162	feeling sick early pregnancy symptoms	f	Female
186420	ferrari car price	n	Non-Gendered
1085552	cardi b how old	f	Female
443435	lu surname meaning	n	Non-Gendered
1042732	who is vlad the impaler	m	Male
932372	what's the meaning of syncretism	n	Non-Gendered
188375	folies-berg re definition	n	Non-Gendered
1024314	what nationality is daddy yankee	m	Male
756226	what is hume's theory of self	m	Non-Gendered
214245	how did nightingale use research	n	Female
214319	how did paul revere die cause of death	m	Male
618938	what did ernest hemingway drink	m	Male
177192	earliest pregnancy symptoms	f	Female
942718	when did tolkien die?	m	Non-Gendered
985475	who wrote land of hope and glory	n	Female
336664	how old is tennys sandgren	m	Male
1102097	why is israel so important	n	Non-Gendered
1097654	how long was martin luther king's speech	m	Male
985780	where is kevin gates born	m	Male
1004005	when is miguel birthday	m	Male
846711	what is the significance of snape's patronus	n	Female
1004385	when does the new grey's anatomy come on	n	Female
576975	"""what are weight,  height standards of runway models"""	n	Non-Gendered
691246	what is a mixer for whiskey	n	Non-Gendered
1036954	who is paul simon	m	Male
668104	what has protein for babies	n	Female
988432	who makes smart ones	n	Non-Gendered
834803	what is the name of the actor that plays rosita	f	Female
1082800	what does the flu shot consist of	n	Non-Gendered
1075563	what is a clapper	n	Non-Gendered
1011799	which is one way that people benefit from equal treatment under the law?	n	Non-Gendered
559097	what are foxes like	n	Non-Gendered
488810	revolution the beatles meaning	n	Non-Gendered
986311	who was sylvester judd	m	Non-Gendered
1035919	who is matty johnson	m	Male
145322	did the eleusinian mysteries survive	n	Non-Gendered
1014037	which nfl punter has highest average punt for career	n	Non-Gendered
1016260	what type of art did wassily kandinsky paint	m	Male
986697	who was james dean in love with	m	Male
986780	"""where is logan square,  illinois?"""	n	Non-Gendered
1034032	who is james roday	m	Male
892104	what ruin means	n	Non-Gendered
830744	what is the meaning of aditi	f	Female
617313	what defines a bad parent	n	Non-Gendered
1096736	how many pounds should you gain the first few weeks of pregnancy	f	Female
983002	where is frisco texas	n	Non-Gendered
1048501	who plays reign on supergirl	f	Female
960062	when was swiss family robinson made	n	Non-Gendered
170176	does period affect breastfeeding	f	Female
997850	where is shawn mendes from	m	Male
667580	what happens when you drink while pregnant	f	Female
565683	what are some of the treatments for prostate cancer	m	Male
1038738	who is steve bing?	m	Male
118706	define cankle	n	Non-Gendered
452629	menopause hot flashes how long does it last	f	Female
743842	what is endometrial hyperplasia unspecified	n	Female
128651	define uncouth	n	Non-Gendered
988280	where is morgan run resort	m	Non-Gendered
1047479	who played vic fontaine on deep space nine	m	Male
970140	where did versace die	m	Male
1095009	how tall is kate upton and weight	f	Female
1097129	how many games did jackie robinson play	m	Male
475551	piquing definition	n	Non-Gendered
495976	short term disability leave how many days	n	Non-Gendered
1003500	where was the 2013 nfl draft	n	Non-Gendered
1050409	who sang you light up my life	n	Female
918231	what was dropped on hiroshima and nagasaki	n	Non-Gendered
1084211	what does arista mean	n	Non-Gendered
1098392	how long does a released ovulation egg last	f	Female
747180	what is fiefs	n	Non-Gendered
1022357	what political party was herbert hoover part of	m	Male
1041077	what is the diep flap precautions	n	Female
1015659	what type of dog is martha in martha speaks	f	Non-Gendered
1002607	when was the cons france terrorist attack?	n	Non-Gendered
668619	what helps low testosterone	m	Male
668404	what helps a busted lip	n	Non-Gendered
1086687	what are the we bee gees	n	Male
1085019	what did ignaz semmelweis discover	m	Non-Gendered
1040784	who is the lead singer of lorde?	f	Non-Gendered
1034789	what is the ovaries	f	Female
334001	how old does a dog have to be to breed	n	Non-Gendered
1072053	what is a husband	m	Male
635199	what does crate trained mean	n	Non-Gendered
1029034	dalian developer	n	Non-Gendered
1068735	what is a prostate and where is it	m	Male
410761	is gabapentin harmful	n	Non-Gendered
200828	helen mccole bartusiak	f	Female
389504	humphrey bogart cause of death	m	Male
1016651	define earth	n	Non-Gendered
522128	toddler diarrhea causes	n	Non-Gendered
1093095	meaning of cain's name	m	Male
1001614	where are nathan's hot dogs made	m	Male
1098644	how long can my cough last	n	Non-Gendered
986318	who was stubby	n	Male
1095223	how old is harrison ford?	m	Male
1090336	sue desmond-hellmann salary	f	Female
341598	how tall is tupac	m	Male
67057	can endometrial polyps cause pain	f	Female
213102	how did christopher reeve die	m	Male
637699	what does floating horse's teeth mean	n	Non-Gendered
1096730	how many puppies in a bichon frise litter	n	Non-Gendered
1068848	why has target changed their color	n	Non-Gendered
1099514	how did the roosevelt corollary subvert the monroe doctrine?	n	Male
1098747	how long ago were the vikings exploring	n	Non-Gendered
1044305	who makes smurfs movies	n	Non-Gendered
849543	what is the symptoms of a prolapse	n	Female
386228	how to wear hair with off shoulder dress	n	Non-Gendered
956674	when was ancient egypt	n	Non-Gendered
646258	what does prolactin do	n	Non-Gendered
1051735	who sings sugar sugar	n	Non-Gendered
1021561	what role did navarro play in the texas independence	m	Non-Gendered
987624	who sang higher ground	n	Non-Gendered
866790	what kind of car does macaulay culkin drive	m	Male
1033726	who is ileana ros lehtinen	f	Female
1009096	which english city was shakespeare born	m	Non-Gendered
641530	what does it mean when your period is really lite	f	Female
326271	how much pounds will gain during pregnancy	f	Female
619258	what did john locke value	m	Male
405307	is cancer in situ localized	n	Non-Gendered
990633	who is geronimo stilton	n	Non-Gendered
1007085	when did daniel keyes die	m	Male
1039003	who is ted mosby	m	Male
1090562	solitary definition jail	n	Non-Gendered
1028677	who invented duct tape wiki	n	Non-Gendered
852456	what is the urban definition of a princess	f	Female
998828	where is tory larenz from	m	Non-Gendered
83386	cast of hansel and gretel	n	Non-Gendered
1083086	what does sabotage mean	n	Non-Gendered
988974	who is the chairman's uncle on iron chef america?	m	Male
160127	do you count your pregnancy weeks by conception or missed period	f	Female
55140	body temperature pregnancy symptom	f	Female
1014706	which of the following explorers led a voyage that ultimately circumnavigated the globe?	n	Non-Gendered
989323	"""where is norma,  la"""	n	Female
1003332	define the location of the human liver	n	Non-Gendered
991132	where is punjab	n	Non-Gendered
428629	is there a trent state park in pa	n	Non-Gendered
990278	who is john o' neil	m	Male
1050792	who sings because i want to fall in love	n	Non-Gendered
1102004	why is the venus	n	Female
80205	can you test a day before missed period	f	Female
334650	how old is chloe moretz	f	Female
998918	where is greenwood la	n	Non-Gendered
1043683	what is the book emma by jane austen about	f	Female
340602	how tall is a mature giraffe	n	Non-Gendered
459659	most well known entrepreneurs	n	Non-Gendered
1038894	what is the glandular tissue and where is it located	n	Non-Gendered
1094135	is herceptin an aromatase inhibitor?	n	Female
992054	who did carter run against for president	m	Male
987770	who refused to leave mt st helens	n	Non-Gendered
242561	how long can someone live without water	n	Non-Gendered
292843	how many people signed declaration of sentiments	n	Non-Gendered
248585	how long do you pie blood after bladder op	n	Non-Gendered
143488	did britain know the us would drop an atomic bomb	n	Non-Gendered
1097847	how long should i cramp while pregnant	f	Female
987400	who sing la la la old song	n	Non-Gendered
996412	where was loretta lynn born?	f	Female
987337	who sings games	n	Non-Gendered
1052127	what is legal age for consent in michigan	n	Non-Gendered
1084069	what does clean hands mean	n	Non-Gendered
1086629	what are tom animale	n	Male
1039252	what is the function of mitosis in a cell that is about to divide?	n	Non-Gendered
1028177	who has eric hosmer	m	Male
881718	what network is supergirl on	f	Female
388314	how wide is a golf ball?	n	Non-Gendered
1004251	allure of the seas cruise ship specs	n	Non-Gendered
95844	common symptoms seen in hiv	n	Non-Gendered
1096098	how much does it cost to do taxes?	n	Non-Gendered
18757	another name for excessive bleeding	n	Non-Gendered
599543	what company makes flonase	n	Non-Gendered
1002322	when was ufc 2	n	Non-Gendered
1035706	who is mario	m	Male
331093	how much zinc to take when pregnant	f	Female
1047840	what is prison like	n	Non-Gendered
1027778	who fought general lee	m	Male
985434	who wrote self reliance	n	Non-Gendered
1005583	when do babies pick up stuff	n	Non-Gendered
952035	when is testosterone too low	n	Male
898202	what state was grover cleveland elected from	m	Male
940389	when did president roosevelt die?	m	Male
1000173	where does barron trump go to school	m	Male
205490	horse time of ovulation	f	Female
473840	perplexed definition	n	Non-Gendered
214623	how did skip waters die	n	Male
1095833	how much is lara flynn boyle worth	f	Female
1089313	types of human rights violation	n	Non-Gendered
1100813	enrique means what in english	m	Male
24039	are original loan docs required to be kept	n	Non-Gendered
1017419	what to do if cockatiels is sick	n	Non-Gendered
1029380	who is a billionaire	n	Non-Gendered
988181	who owns truth or fiction?	n	Non-Gendered
1092044	occurrence population for hiv	n	Non-Gendered
894280	what show is lou dobbs on?	m	Male
1092926	meaning of the word jessie	n	Female
1023861	who are jeff dunham?	m	Male
619055	what did gold miners go through	n	Non-Gendered
663278	what gen is spoink	n	Non-Gendered
597024	what college did james monroe	m	Male
1029610	who is actor sudheer	m	Male
1035117	who is larry keigwin	m	Male
1025994	what labs and symptoms for appendicitis	n	Non-Gendered
390284	i pound gold how many grams	n	Non-Gendered
1090514	bojangles breakfast hours	n	Non-Gendered
1037908	who is rosario dawson curr	f	Female
335471	how old is justin bieber now	m	Male
551085	what age do you wean kittens	n	Non-Gendered
